...1,SampleID,TUBE NAME,CD4+,CD4G+T+2+,CD4G+T-2+,CD4G-T+2+,CD4G-T-2+,CD4G+T+2-,CD4G+T-2-,CD4G-T+2-,CD4G-T-2-,CD8+,CD8G+T+2+,CD8G+T-2+,CD8G-T+2+,CD8G-T-2+,CD8G+T+2-,CD8G+T-2-,CD8G-T+2-,CD8G-T-2-
example_1.fcs,sample_1,MTB-LYS,95.31,0.18,0.02,0.12,0.06,0.04,0.04,1.76,97.77,93.13,0,0,0.04,0.01,0,0,8.41,91.53
example_2.fcs,sample_1,PHA,93.77,5.85,18.77,1.4,11.09,1.15,9.31,2.13,50.31,91.95,1.62,0.75,2.54,3.05,1.19,0.73,15.13,74.99
example_3.fcs,sample_1,UNS,94.84,0,0,0,0.01,0,0,0.03,99.96,92.49,0,0,0,0,0,0,0.03,99.96
example_4.fcs,sample_2,MTB-LYS,95.25,0.18,0.02,0.12,0.05,0.03,0.02,1.36,98.22,92.99,0,0,0.04,0.01,0,0.01,8.97,90.96
example_5.fcs,sample_2,PHA,94.15,4.2,11.6,1.5,10.09,1.12,8.17,2.36,60.96,92.34,0.52,0.29,2.09,2,0.65,0.23,13.71,80.51
example_6.fcs,sample_2,UNS,94.92,0,0,0,0,0,0,0.03,99.96,92.46,0,0,0.01,0.01,0,0,0.03,99.95
example_7.fcs,sample_3,MTB-LYS,95.46,0.21,0.03,0.12,0.09,0.03,0.03,1.49,98.01,93.12,0,0,0.05,0.02,0,0,8.39,91.53
example_8.fcs,sample_3,PHA,93.99,5.57,17.76,1.28,9.69,1.05,10.15,1.98,52.52,91.91,0.93,0.61,2.27,2.95,0.9,0.56,14.35,77.43
example_9.fcs,sample_3,UNS,94.81,0,0,0.03,0.08,0,0.01,0.02,99.85,92.4,0,0,0.03,0.04,0,0,0.03,99.91
example_10.fcs,sample_4,MTB-LYS,96.16,0.54,0.05,0.13,0.05,0.11,0.04,1.24,97.84,94.17,0,0,0,0.01,0,0,2.43,97.56
example_11.fcs,sample_4,PHA,95.28,14.41,17.83,3.12,8.55,2.36,5.34,3.7,44.69,92.75,3.97,0.91,6,4.44,2.7,0.36,18.97,62.65
example_12.fcs,sample_4,UNS,95.93,0,0,0,0.01,0,0,0.04,99.94,93.5,0,0,0,0.62,0,0.04,0.03,99.3
example_13.fcs,sample_5,MTB-LYS,96.12,0.16,0.02,0.15,0.03,0.03,0.01,1.78,97.81,93.92,0,0,0.02,0.31,0,0.04,3.22,96.41
example_14.fcs,sample_5,PHA,95.22,11.38,12.59,3.66,7.35,2.53,5.41,4.08,52.99,92.54,2.19,0.63,5.31,3.07,1.92,0.23,17.36,69.29
example_15.fcs,sample_5,UNS,96.31,0,0,0,0,0,0,0.02,99.98,93.42,0,0,0,0.23,0,0.07,0.02,99.67
example_16.fcs,sample_6,MTB-LYS,96.11,0.4,0.05,0.23,0.1,0.09,0.02,1.12,97.98,93.91,0,0,0.08,0.61,0,0.02,2.66,96.62
example_17.fcs,sample_6,PHA,95.39,14.18,17.6,3.04,7.61,2.21,5.74,2.99,46.63,92.89,4,0.98,5.67,4.19,3.04,0.42,17.41,64.3
example_18.fcs,sample_6,UNS,95.72,0,0,0.03,0.05,0,0,0.02,99.89,93.2,0,0,0.05,0.43,0,0.02,0.02,99.48
example_19.fcs,sample_7,MTB-LYS,94.6,0.9,0.06,0.4,0.09,0.17,0.02,0.56,97.79,94.95,0,0,0.03,0.04,0.01,0,0.43,99.49
example_20.fcs,sample_7,PHA,91.97,6.79,12.24,1.65,4.56,3.91,6.35,10.16,54.35,92.59,1.14,0.32,2.26,1.27,2.84,0.17,42.23,50.42
example_21.fcs,sample_7,UNS,94.27,0,0,0.04,0.03,0,0,0.02,99.91,94.6,0,0,0.03,0.02,0.12,0.02,0.67,99.17
example_22.fcs,sample_8,MTB-LYS,93.8,0.94,0.05,0.46,0.04,0.1,0.02,0.5,97.89,95.11,0,0,0.02,0.04,0.01,0,0.34,99.62
example_23.fcs,sample_8,PHA,90.63,8.05,12.53,1.58,3.74,5.02,7.01,12.98,49.09,92.95,1.32,0.3,2.33,1.01,3.24,0.21,47.09,45.28
example_24.fcs,sample_8,UNS,93.98,0,0.01,0,0.01,0,0,0.06,99.92,94.7,0,0,0,0.01,0.06,0.01,0.67,99.25
example_25.fcs,sample_9,MTB-LYS,94.42,0.65,0.03,0.54,0.03,0.06,0.02,0.58,98.08,95.22,0,0,0.02,0.03,0,0.04,0.3,99.66
